leaf_rate,stem_rate,root_rate,sr,time,speed,water,nitrate,leaf_mass,stem_mass,root_mass,starch_mass
0.0,0.0,0.09888484198614811,0.029095311916142383,377330485,2400,33254930.306139752,115061.61791440555,1,1.0,6.99637232247233,14290.485622622287
0.0,0.0,0.11866246149274245,0.03491456587807673,379825124,2400,33254930.306139752,114731.48433735699,1,1.0,7.047550591764518,13563.31500888733
0.0,0.0,0.046629907779156834,0.013720118111182013,382170901,2400,33254930.306139752,114342.77443237293,1,1.0,7.107809534134644,12849.829609222137
0.0,0.0,0.000736569240139142,473.3606992943154,384900838,2400,33254930.306139752,114186.78913365943,1,1.0,7.131990829762176,12849.843493981643
0.0,0.0,0.0009024668552986757,579.9758100588397,386968099,2400,33254930.306139752,114184.34465702163,1,1.0,7.132369779655045,13325.097636073122
0.0,0.0,0.0010409460310286162,668.9702940653158,389381104,2400,33254930.306139752,114181.34662738092,1,1.0,7.132834542947733,13907.973325182245
0.0,0.0,0.0011455195540041945,736.175104239087,391748490,2400,33254930.306139752,114177.95394089825,1,1.0,7.133360487094315,14567.578035130648
0.0,0.0,0.0012169368753385723,782.071879893446,394139886,2400,33254930.306139752,114174.17877305385,1,1.0,7.1339457246163525,15301.544614057013
0.0,0.0,0.01500389499572811,9642.344317792422,408855287,38400,33254930.306139752,114150.24029137775,1,1.0,7.134569943102594,16084.398565830335
0.0,0.0,0.0,0.0,433254688,2400,33389714.306139752,114118.12717976504,1,1.0,7.142258388131528,25726.742883622763
0.0,0.0,0.0,0.0,435665292,2400,33774098.30613975,114118.12717976504,1,1.0,7.116521537174873,25726.742883622763
0.0,0.0,0.0009659285270690283,620.7598391637283,438246367,2400,34159634.30613975,114118.12717976504,1,1.0,7.090713762629832,25726.742883622763
0.0,0.0,0.0009659285270690283,620.7598391637283,440503307,2400,34547858.30613976,114114.89917068317,1,1.0,7.0912141780057505,25626.41108101732
0.0,0.0,0.0009659285270690283,620.7598391637283,442863490,2400,34925714.30613976,114111.75736955898,1,1.0,7.091701229172816,25528.75876275444
0.0,0.0,0.0009659285270690283,620.7598391637283,445257287,2400,35308946.30613975,114108.57086801229,1,1.0,7.092195209929658,25429.71708223986
0.0,0.0,0.0009659285270690283,620.7598391637283,447651084,2400,35692178.30613975,114105.3843664656,1,1.0,7.0926891906864995,25330.67540172529
0.0,0.0,0.0009659285270690283,620.7598391637283,450112109,2400,36085394.30613975,114102.11484984856,1,1.0,7.093196040681496,25229.053477028974
0.0,0.0,0.0009659285270690283,620.7598391637283,452515510,2400,36469394.30613975,114098.92196252722,1,1.0,7.093691011379735,25129.813316192718
0.0,0.0,0.0009659285270690283,620.7598391637283,454926114,2400,36854930.30613975,114095.7163036566,1,1.0,7.094187961960767,25030.176194713124
0.0,0.0,0.0009659285270690283,620.7598391637283,457279094,2400,37231250.30613975,114092.58727408171,1,1.0,7.09467303324504,24932.920837093592
0.0,0.0,0.0009659285270690283,620.7598391637283,459682495,2400,37616018.30613975,114089.38800098574,1,1.0,7.095168993884675,24833.482195935667
0.0,0.0,0.0009659285270690283,620.7598391637283,462109906,2400,38003858.30613976,114086.16318479119,1,1.0,7.095668914289896,24733.249633491057
0.0,0.0,0.10595410377813663,0.031175331186270624,464767813,2400,38383634.30613976,114083.0054192304,1,1.0,7.096158440310454,24635.101114424015
0.0,0.0,0.12418449938817804,0.03653933881347732,466974332,2400,38768786.30613975,113731.72227186219,1,1.0,7.15061537763427,23912.972383281198
0.0,0.0,0.14119419807353384,0.04154417553981147,469310505,2400,39150866.30613975,113323.28151568132,1,1.0,7.213933054062751,23196.60873992329
0.0,0.0,0.15668410983175846,0.046101838828813836,471687495,2400,39534482.30613976,112857.02926713087,1,1.0,7.286212836530637,22477.370242554643
0.0,0.0,0.17047563235790497,0.050159777756935364,474143718,2400,39928466.30613976,112325.64227966225,1,1.0,7.368589996061514,21738.697543041297
0.0,0.0,0.18124623200866483,0.0533288575680418,476501500,2400,40305554.30613975,111772.27637378986,1,1.0,7.454374391581197,21031.706799943113
0.0,0.0,0.18949390937437943,0.055755607115488,478921708,2400,40692626.30613976,111168.37207837851,1,1.0,7.5479933955419405,20306.00055543152
0.0,0.0,0.19462360809067475,0.05726494040852552,481325109,2400,41077394.30613977,110540.74513798907,1,1.0,7.645289953067101,19584.616422549858
0.0,0.0,0.1965344984278804,0.05782718988257867,483711703,2400,41459474.30613977,109900.63132305362,1,1.0,7.744522262277516,18868.273401165567
0.0,0.0,0.1952039391771349,0.05743569371748623,486112703,2400,41843090.306139775,109251.63403378814,1,1.0,7.845131713569583,18149.051170528295
